product,category,subcategory,database,abbreviated_database,region,nutritional level,dish
Fried_aubergine,Vegetables,Fried Vegetables,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
fried_calamari,Fish,Fried or Breaded Fish,Food-101,Food101,INTERNATIONAL,3,Main
Fried_cheese,Dairy Products,Fried Dairy Products,ISIA Food-500,ISIA,INTERNATIONAL,3,Main
Fried_chicken,Meat,Breaded Meat,ISIA Food-500,ISIA,INTERNATIONAL,2,Main
Fried_noodles,Noodle and Pasta,Noodle,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
Fried_onion,Vegetables,Fried Vegetables,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
fried_rice,Rice,Rice,Food-101,Food101,INTERNATIONAL,6,Main
Fried_rice,Rice,Rice,ISIA Food-500,ISIA,INTERNATIONAL,6,Main
fried_rice,Rice,Rice,VIPER-FoodNet,VIPER,INTERNATIONAL,6,Main
Fried_Tofu,Beans,Fried Beans,ISIA Food-500,ISIA,INTERNATIONAL,3,Main
frozen_yogurt,Sweet Products,Dairy Dessert,Food-101,Food101,INTERNATIONAL,1,Dessert
Fruit_curd,Sweet Products,Fruit Dessert,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
fruit_drink,Drinks,Other Drinks,VIPER-FoodNet,VIPER,INTERNATIONAL,1,Drinks
Fuqi_feipian,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,2,Main
g,Noodle and Pasta,Italian Pasta,Food-11,Food11,INTERNATIONAL,6,Main
Galbi,Meat,Red Meat,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,2,Main
ganmodoki,Mixed Food,Fried Food,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,2,Main
garlic_bread,Bread and Similar Products,Bread,Food-101,Food101,INTERNATIONAL,6,Bread
Garlic_bread,Bread and Similar Products,Bread,ISIA Food-500,ISIA,INTERNATIONAL,6,Bread
garlics,Vegetables,Fresh Vegetables,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Main
Gejang,Mixed Food,Mixed Seafood,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
ginger pork saute,Meat,Varied Meat,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,2,Main
Ginger_beef,Mixed Food,Meat and Vegetables,ISIA Food-500,ISIA,INTERNATIONAL,3,Main
gingers,Vegetables,Fresh Vegetables,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Main
glutinous oil rice,Mixed Food,Mixed Rice,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,6,Main
Glutinous Rice Balls,Rice,Rice,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,6,Main
gnocchi,Noodle and Pasta,Other Types of Pasta,Food-101,Food101,INTERNATIONAL,6,Main
Gołąbki,Mixed Food,Mixed Food,ISIA Food-500,ISIA,EUROPE,3,Main
Goulash,Soups and Stews,Stews,ISIA Food-500,ISIA,EUROPE,4,Main
goya chanpuru,Mixed Food,Mixed Food,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,3,Main
grapefruits,Fruits,Fruits,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Dessert
grapes,Fruits,Fruits,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Dessert
gratin,Mixed Food,Mixed Food,UECFood-256,UECFOOD256,INTERNATIONAL,3,Main
Gravlax,Fish,Varied Fish,ISIA Food-500,ISIA,EUROPE,4,Main
greek_salad,Salad,Other Types of Salad,Food-101,Food101,EUROPE,3,Main
Greek_salad,Salad,Other Types of Salad,ISIA Food-500,ISIA,EUROPE,3,Main
green curry,Mixed Food,Mixed Food,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,3,Main
green salad,Salad,Side Dish Salad,UECFood-256,UECFOOD256,INTERNATIONAL,5,Side
Green_bean_casserole,Mixed Food,Mixed Beans,ISIA Food-500,ISIA,NORTH AMERICA,4,Main
green_beans,Beans,Cooked Beans,VIPER-FoodNet,VIPER,INTERNATIONAL,4,Main
Green_papaya_salad,Salad,Other Types of Salad,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,3,Main
grilled eggplant,Mixed Food,Mixed Vegetables,UECFood-256,UECFOOD256,INTERNATIONAL,5,Main
grilled pacific saury,Fish,Varied Fish,UECFood-256,UECFOOD256,INTERNATIONAL,4,Main
grilled salmon,Fish,Varied Fish,UECFood-256,UECFOOD256,INTERNATIONAL,4,Main
grilled_cheese_sandwich,Sandwich and Similar Products,Sandwich,Food-101,Food101,INTERNATIONAL,3,Main
grilled_salmon,Fish,Varied Fish,Food-101,Food101,INTERNATIONAL,4,Main
grilled_salmon,Fish,Varied Fish,VIPER-FoodNet,VIPER,INTERNATIONAL,4,Main
Grits,Noodle and Pasta,Other Types of Pasta,ISIA Food-500,ISIA,NORTH AMERICA,6,Main
guacamole,Mixed Food,Sauce,Food-101,Food101,LATIN AMERICA AND THE CARIBBEAN,1,Snack
gulai,Mixed Food,Mixed Food,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,3,Main
Gulai_Ayam,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,2,Main
gyoza,Mixed Food,Dumpling,Food-101,Food101,EAST AND SOUTHEAST ASIA,2,Main
gyro,Sandwich and Similar Products,Wrap,MAFood-121,MAFood121,EUROPE,3,Main
Gyutan,Meat,Red Meat,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,2,Main
h,Rice,Rice,Food-11,Food11,INTERNATIONAL,6,Main
Hae_mee,Noodle and Pasta,Noodle,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
Hainanese_chicken_rice,Mixed Food,Rice and Meat,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,3,Main
ham cutlet,Mixed Food,Fried Food,UECFood-256,UECFOOD256,INTERNATIONAL,2,Main
Ham_and_cheese_sandwich,Sandwich and Similar Products,Sandwich,ISIA Food-500,ISIA,INTERNATIONAL,3,Main
Ham_salad,Mixed Food,Mixed Food,ISIA Food-500,ISIA,INTERNATIONAL,3,Main
Ham_sandwich,Sandwich and Similar Products,Sandwich,ISIA Food-500,ISIA,INTERNATIONAL,3,Main
hambarg steak,Meat,Red Meat,UECFood-256,UECFOOD256,INTERNATIONAL,2,Main
hamburger,Fast Food,Burger,Food-101,Food101,INTERNATIONAL,1,Main
hamburger,Fast Food,Burger,UECFood-256,UECFOOD256,INTERNATIONAL,1,Main
hamburgers,Fast Food,Burger,ISIA Food-500,ISIA,INTERNATIONAL,1,Main
hamsi,Fish,Varied Fish,MAFood-121,MAFood121,INTERNATIONAL,4,Main
Har_gow,Mixed Food,Dumpling,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,2,Main
hash_brown,Vegetables,Fried Vegetables,VIPER-FoodNet,VIPER,INTERNATIONAL,4,Main
haupia,Sweet Products,Other Sweet Products,UECFood-256,UECFOOD256,NORTH AMERICA,1,Dessert
Hiyayakko,Beans,Cooked Beans,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
Hokkien_mee,Noodle and Pasta,Noodle,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
Hongshao_rou,Meat,Varied Meat,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,2,Main
Hoppin'_John,Mixed Food,Rice and Beans,ISIA Food-500,ISIA,NORTH AMERICA,4,Main
hot & sour soup,Soups and Stews,Soups and Creams,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
"hot and sour, fish and vegetable ragout",Soups and Stews,Stews,UECFood-256,UECFOOD256,INTERNATIONAL,4,Main
hot dog,Fast Food,Hot Dog,UECFood-256,UECFOOD256,INTERNATIONAL,1,Main
hot pot,Soups and Stews,Stews,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
hot_and_sour_soup,Soups and Stews,Soups and Creams,Food-101,Food101,EAST AND SOUTHEAST ASIA,4,Main
Hot_and_sour_soup,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
hot_dog,Fast Food,Hot Dog,Food-101,Food101,INTERNATIONAL,1,Main
hot_dog,Fast Food,Hot Dog,VIPER-FoodNet,VIPER,INTERNATIONAL,1,Main
